,ZONA,MUNI_DOM,CO_DOM_X,CO_DOM_Y,ID_DOM,F_DOM,FE_DOM,DOM,CD_ENTRE,DATA,TIPO_DOM,AGUA,RUA_PAVI,NO_MORAD,TOT_FAM,ID_FAM,F_FAM,FE_FAM,FAMILIA,NO_MORAF,CONDMORA,QT_BANHO,QT_EMPRE,QT_AUTO,QT_MICRO,QT_LAVALOU,QT_GEL1,QT_GEL2,QT_FREEZ,QT_MLAVA,QT_DVD,QT_MICROON,QT_MOTO,QT_SECAROU,QT_BICICLE,NAO_DCL_IT,CRITERIOBR,PONTO_BR,ANO_AUTO1,ANO_AUTO2,ANO_AUTO3,RENDA_FA,CD_RENFA,ID_PESS,F_PESS,FE_PESS,PESSOA,SIT_FAM,IDADE,SEXO,ESTUDA,GRAU_INS,CD_ATIVI,CO_REN_I,VL_REN_I,ZONA_ESC,MUNIESC,CO_ESC_X,CO_ESC_Y,TIPO_ESC,ZONATRA1,MUNITRA1,CO_TR1_X,CO_TR1_Y,TRAB1_RE,TRABEXT1,OCUP1,SETOR1,VINC1,ZONATRA2,MUNITRA2,CO_TR2_X,CO_TR2_Y,TRAB2_RE,TRABEXT2,OCUP2,SETOR2,VINC2,N_VIAG,FE_VIA,DIA_SEM,TOT_VIAG,ZONA_O,MUNI_O,CO_O_X,CO_O_Y,ZONA_D,MUNI_D,CO_D_X,CO_D_Y,ZONA_T1,MUNI_T1,CO_T1_X,CO_T1_Y,ZONA_T2,MUNI_T2,CO_T2_X,CO_T2_Y,ZONA_T3,MUNI_T3,CO_T3_X,CO_T3_Y,MOTIVO_O,MOTIVO_D,MOT_SRES,SERVIR_O,SERVIR_D,MODO1,MODO2,MODO3,MODO4,H_SAIDA,MIN_SAIDA,ANDA_O,H_CHEG,MIN_CHEG,ANDA_D,DURACAO,MODOPRIN,TIPVG,PAG_VIAG,TP_ESAUTO,VL_EST,PE_BICI,VIA_BICI,TP_ESBICI,DISTANCIA,ID_ORDEM
490,2,36,333247,7395663,21723,0,45.166667,1723,1,19092018,1,1,1,1,1,217231,0,45.166667,1,1,1,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,3.0,30.0,,,,2200.0,1,21723101,0,72.733237,1,1,28,1,5,4,1,1,2200.0,24.0,36.0,333200.0,7393152.0,2.0,2.0,36.0,333247.0,7395663.0,1.0,1.0,5.0,14.0,4.0,,,,,,,,,,5.0,82.416369,5.0,6,2.0,36.0,333247.0,7395663.0,24.0,36.0,333200.0,7393152.0,,,,,,,,,,,,,8.0,4.0,4.0,2.0,2.0,16.0,,,,18.0,0.0,,18.0,34.0,,34.0,16.0,3.0,,,,6.0,,,2511.44,491
1285,6,36,332567,7396138,60300,1,51.0,300,1,22032018,1,1,1,3,1,603001,1,51.0,1,3,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,6.0,13.0,,,,3100.0,1,60300101,1,32.071761,1,1,23,1,1,3,1,1,1600.0,,,,,,27.0,36.0,332127.0,7393008.0,2.0,1.0,5.0,14.0,1.0,,,,,,,,,,1.0,36.341544,4.0,2,6.0,36.0,332567.0,7396138.0,27.0,36.0,332127.0,7393008.0,,,,,,,,,,,,,8.0,3.0,3.0,2.0,2.0,16.0,,,,6.0,40.0,,7.0,30.0,,50.0,16.0,3.0,,,,6.0,,,3160.78,1286
1286,6,36,332567,7396138,60300,0,51.0,300,1,22032018,1,1,1,3,1,603001,0,51.0,1,3,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,6.0,13.0,,,,3100.0,1,60300101,0,32.071761,1,1,23,1,1,3,1,1,1600.0,,,,,,27.0,36.0,332127.0,7393008.0,2.0,1.0,5.0,14.0,1.0,,,,,,,,,,2.0,36.341544,4.0,2,27.0,36.0,332127.0,7393008.0,6.0,36.0,332567.0,7396138.0,,,,,,,,,,,,,3.0,8.0,3.0,2.0,2.0,16.0,,,,17.0,0.0,,17.0,50.0,,50.0,16.0,3.0,,,,6.0,,,3160.78,1287
1529,7,36,333834,7396179,70008,0,69.666667,8,1,31082017,1,1,1,2,1,700081,0,69.666667,1,2,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,4.0,26.0,2005.0,,,3600.0,1,70008102,0,81.339663,2,2,33,2,1,2,1,1,1100.0,,,,,,2.0,36.0,333357.0,7395690.0,2.0,2.0,6.0,4.0,1.0,,,,,,,,,,2.0,92.168587,5.0,2,2.0,36.0,333357.0,7395690.0,7.0,36.0,333834.0,7396179.0,,,,,,,,,,,,,2.0,8.0,2.0,2.0,2.0,16.0,,,,17.0,0.0,,17.0,20.0,,20.0,16.0,3.0,,,,6.0,,,683.12,1530
3507,13,36,334246,7396229,130434,0,8.578947,434,1,3052018,1,1,1,4,1,1304341,0,8.578947,1,4,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,4.0,27.0,,,,3044.22,3,130434102,0,14.57194,2,4,48,2,1,3,1,1,1800.0,,,,,,2.0,36.0,333367.0,7395305.0,2.0,2.0,6.0,4.0,2.0,,,,,,,,,,4.0,16.511933,4.0,4,2.0,36.0,333367.0,7395305.0,13.0,36.0,334246.0,7396229.0,,,,,,,,,,,,,3.0,8.0,3.0,2.0,2.0,16.0,,,,19.0,0.0,,19.0,21.0,,21.0,16.0,3.0,,,,6.0,,,1275.31,3508
3961,15,36,335698,7395533,150016,0,92.111111,16,1,7092017,1,1,1,2,1,1500161,0,92.111111,1,2,2,,,,,,,,,,,,,,,0,,,,,,2962.84,4,150016102,1,157.763259,2,2,60,2,1,5,1,3,,,,,,,16.0,36.0,335158.0,7394914.0,2.0,2.0,2.0,13.0,1.0,,,,,,,,,,1.0,178.766621,3.0,2,15.0,36.0,335698.0,7395533.0,16.0,36.0,335158.0,7394914.0,,,,,,,,,,,,,8.0,3.0,3.0,2.0,2.0,16.0,,,,7.0,30.0,,8.0,0.0,,30.0,16.0,3.0,,,,6.0,,,821.44,3962
3962,15,36,335698,7395533,150016,0,92.111111,16,1,7092017,1,1,1,2,1,1500161,0,92.111111,1,2,2,,,,,,,,,,,,,,,0,,,,,,2962.84,4,150016102,0,157.763259,2,2,60,2,1,5,1,3,,,,,,,16.0,36.0,335158.0,7394914.0,2.0,2.0,2.0,13.0,1.0,,,,,,,,,,2.0,178.766621,3.0,2,16.0,36.0,335158.0,7394914.0,15.0,36.0,335698.0,7395533.0,,,,,,,,,,,,,3.0,8.0,3.0,2.0,2.0,16.0,,,,18.0,0.0,,18.0,30.0,,30.0,16.0,3.0,,,,6.0,,,821.44,3963
3978,15,36,335581,7395338,150023,1,92.111111,23,1,6092017,1,1,1,2,1,1500231,1,92.111111,1,2,1,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1,4.0,25.0,,,,3100.0,1,150023101,1,157.763259,1,1,52,1,1,1,1,1,1800.0,,,,,,14.0,36.0,334887.0,7395633.0,2.0,2.0,6.0,4.0,7.0,,,,,,,,,,1.0,178.766621,3.0,2,15.0,36.0,335581.0,7395338.0,14.0,36.0,334887.0,7395633.0,,,,,,,,,,,,,8.0,2.0,2.0,2.0,2.0,16.0,,,,5.0,10.0,,5.0,30.0,,20.0,16.0,3.0,,,,6.0,,,754.1,3979
4008,15,36,335838,7395188,150037,1,43.588235,37,1,6092017,1,1,1,2,1,1500371,1,43.588235,1,2,1,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1,3.0,32.0,2011.0,,,6800.0,1,150037101,1,46.737077,1,1,56,1,1,5,1,1,4000.0,,,,,,2.0,36.0,333644.0,7394727.0,2.0,2.0,2.0,12.0,2.0,,,,,,,,,,1.0,52.959285,4.0,2,15.0,36.0,335838.0,7395188.0,2.0,36.0,333644.0,7394727.0,,,,,,,,,,,,,8.0,3.0,3.0,2.0,2.0,16.0,,,,7.0,0.0,,7.0,30.0,,30.0,16.0,3.0,,,,6.0,,,2241.91,4009
6808,22,36,333182,7392617,221788,1,42.567568,1788,1,25082018,1,1,1,2,1,2217881,1,42.567568,1,2,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1,5.0,20.0,,,,2085.99,3,221788101,1,59.241597,1,1,39,2,1,4,1,3,,,,,,,22.0,36.0,333182.0,7392617.0,1.0,2.0,1.0,14.0,4.0,,,,,,,,,,1.0,67.128558,2.0,4,22.0,36.0,333182.0,7392617.0,57.0,36.0,332006.0,7392434.0,,,,,,,,,,,,,8.0,4.0,4.0,2.0,1.0,16.0,,,,6.0,40.0,,7.0,10.0,,30.0,16.0,3.0,,,,6.0,,,1190.15,6809
