,ZONA,MUNI_DOM,CO_DOM_X,CO_DOM_Y,ID_DOM,F_DOM,FE_DOM,DOM,CD_ENTRE,DATA,TIPO_DOM,AGUA,RUA_PAVI,NO_MORAD,TOT_FAM,ID_FAM,F_FAM,FE_FAM,FAMILIA,NO_MORAF,CONDMORA,QT_BANHO,QT_EMPRE,QT_AUTO,QT_MICRO,QT_LAVALOU,QT_GEL1,QT_GEL2,QT_FREEZ,QT_MLAVA,QT_DVD,QT_MICROON,QT_MOTO,QT_SECAROU,QT_BICICLE,NAO_DCL_IT,CRITERIOBR,PONTO_BR,ANO_AUTO1,ANO_AUTO2,ANO_AUTO3,RENDA_FA,CD_RENFA,ID_PESS,F_PESS,FE_PESS,PESSOA,SIT_FAM,IDADE,SEXO,ESTUDA,GRAU_INS,CD_ATIVI,CO_REN_I,VL_REN_I,ZONA_ESC,MUNIESC,CO_ESC_X,CO_ESC_Y,TIPO_ESC,ZONATRA1,MUNITRA1,CO_TR1_X,CO_TR1_Y,TRAB1_RE,TRABEXT1,OCUP1,SETOR1,VINC1,ZONATRA2,MUNITRA2,CO_TR2_X,CO_TR2_Y,TRAB2_RE,TRABEXT2,OCUP2,SETOR2,VINC2,N_VIAG,FE_VIA,DIA_SEM,TOT_VIAG,ZONA_O,MUNI_O,CO_O_X,CO_O_Y,ZONA_D,MUNI_D,CO_D_X,CO_D_Y,ZONA_T1,MUNI_T1,CO_T1_X,CO_T1_Y,ZONA_T2,MUNI_T2,CO_T2_X,CO_T2_Y,ZONA_T3,MUNI_T3,CO_T3_X,CO_T3_Y,MOTIVO_O,MOTIVO_D,MOT_SRES,SERVIR_O,SERVIR_D,MODO1,MODO2,MODO3,MODO4,H_SAIDA,MIN_SAIDA,ANDA_O,H_CHEG,MIN_CHEG,ANDA_D,DURACAO,MODOPRIN,TIPVG,PAG_VIAG,TP_ESAUTO,VL_EST,PE_BICI,VIA_BICI,TP_ESBICI,DISTANCIA,ID_ORDEM
569,3,36,333828,7394334,30721,0,129.971429,721,1,26092017,1,1,1,4,1,307211,0,129.971429,1,4,2,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1,3.0,30.0,,,,3579.58,3,30721103,0,137.954139,3,3,23,2,1,5,1,3,,,,,,,59.0,36.0,332389.0,7387216.0,2.0,2.0,2.0,14.0,1.0,,,,,,,,,,2.0,156.32027,3.0,4,59.0,36.0,332389.0,7387216.0,59.0,36.0,332411.0,7387232.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,2.0,,2.0,16.0,3.0,,,,1.0,,,27.2,570
570,3,36,333828,7394334,30721,0,129.971429,721,1,26092017,1,1,1,4,1,307211,0,129.971429,1,4,2,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1,3.0,30.0,,,,3579.58,3,30721103,0,137.954139,3,3,23,2,1,5,1,3,,,,,,,59.0,36.0,332389.0,7387216.0,2.0,2.0,2.0,14.0,1.0,,,,,,,,,,3.0,156.32027,3.0,4,59.0,36.0,332411.0,7387232.0,59.0,36.0,332389.0,7387216.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,12.0,55.0,,13.0,0.0,,5.0,16.0,3.0,,,,1.0,,,27.2,571
844,4,36,332033,7394667,40040,0,193.619048,40,1,22082017,1,1,1,2,1,400401,0,193.619048,1,2,1,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,3.0,33.0,,,,7800.0,1,40040102,0,82.128858,2,2,29,1,1,5,1,1,2800.0,,,,,,57.0,36.0,331783.0,7391920.0,2.0,1.0,2.0,12.0,2.0,,,,,,,,,,2.0,93.062849,2.0,4,57.0,36.0,331783.0,7391920.0,57.0,36.0,332104.0,7392181.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,13.0,0.0,,13.0,5.0,,5.0,16.0,3.0,,,,1.0,,,413.72,845
845,4,36,332033,7394667,40040,0,193.619048,40,1,22082017,1,1,1,2,1,400401,0,193.619048,1,2,1,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,3.0,33.0,,,,7800.0,1,40040102,0,82.128858,2,2,29,1,1,5,1,1,2800.0,,,,,,57.0,36.0,331783.0,7391920.0,2.0,1.0,2.0,12.0,2.0,,,,,,,,,,3.0,93.062849,2.0,4,57.0,36.0,332104.0,7392181.0,57.0,36.0,331783.0,7391920.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,13.0,50.0,,13.0,55.0,,5.0,16.0,3.0,,,,1.0,,,413.72,846
936,4,36,332640,7394148,42048,0,193.619048,2048,1,13092017,1,1,1,3,1,420481,0,193.619048,1,3,2,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1,2.0,39.0,2008.0,,,15000.0,1,42048101,0,189.235286,1,1,54,1,1,5,1,1,8000.0,,,,,,4.0,36.0,332640.0,7394148.0,3.0,1.0,2.0,12.0,6.0,,,,,,,,,,4.0,214.428586,3.0,6,65.0,36.0,329917.0,7389344.0,65.0,36.0,330197.0,7389054.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,30.0,,12.0,35.0,,5.0,16.0,3.0,,,,1.0,,,403.11,937
937,4,36,332640,7394148,42048,0,193.619048,2048,1,13092017,1,1,1,3,1,420481,0,193.619048,1,3,2,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1,2.0,39.0,2008.0,,,15000.0,1,42048101,0,189.235286,1,1,54,1,1,5,1,1,8000.0,,,,,,4.0,36.0,332640.0,7394148.0,3.0,1.0,2.0,12.0,6.0,,,,,,,,,,5.0,214.428586,3.0,6,65.0,36.0,330197.0,7389054.0,65.0,36.0,329917.0,7389344.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,13.0,0.0,,13.0,5.0,,5.0,16.0,3.0,,,,1.0,,,403.11,938
1654,7,36,333433,7396262,70840,0,200.0,840,1,19052018,1,1,1,2,1,708401,0,200.0,1,2,2,,,,,,,,,,,,,,,0,,,,,,4050.34,4,70840101,0,206.928233,1,1,33,1,5,5,1,3,,79.0,36.0,330710.0,7393408.0,2.0,59.0,36.0,333934.0,7386971.0,2.0,2.0,2.0,14.0,1.0,,,,,,,,,,2.0,234.477033,6.0,4,59.0,36.0,333934.0,7386971.0,250.0,36.0,334032.0,7386923.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,12.0,0.0,,12.0,5.0,,5.0,16.0,3.0,,,,1.0,,,109.12,1655
1655,7,36,333433,7396262,70840,0,200.0,840,1,19052018,1,1,1,2,1,708401,0,200.0,1,2,2,,,,,,,,,,,,,,,0,,,,,,4050.34,4,70840101,0,206.928233,1,1,33,1,5,5,1,3,,79.0,36.0,330710.0,7393408.0,2.0,59.0,36.0,333934.0,7386971.0,2.0,2.0,2.0,14.0,1.0,,,,,,,,,,3.0,234.477033,6.0,4,250.0,36.0,334032.0,7386923.0,59.0,36.0,333934.0,7386971.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,13.0,0.0,,13.0,5.0,,5.0,16.0,3.0,,,,1.0,,,109.12,1656
1716,7,36,333130,7396947,71477,0,105.388889,1477,1,21092017,1,1,1,3,1,714771,0,105.388889,1,3,2,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,3.0,35.0,2012.0,,,7190.0,1,71477101,0,127.117782,1,1,54,1,1,4,1,1,3000.0,,,,,,56.0,36.0,332250.0,7391529.0,2.0,2.0,3.0,11.0,1.0,,,,,,,,,,2.0,144.041245,5.0,4,56.0,36.0,332250.0,7391529.0,57.0,36.0,332192.0,7391964.0,,,,,,,,,,,,,3.0,11.0,11.0,2.0,2.0,16.0,,,,11.0,0.0,,11.0,5.0,,5.0,16.0,3.0,,,,1.0,,,438.85,1717
1717,7,36,333130,7396947,71477,0,105.388889,1477,1,21092017,1,1,1,3,1,714771,0,105.388889,1,3,2,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,3.0,35.0,2012.0,,,7190.0,1,71477101,0,127.117782,1,1,54,1,1,4,1,1,3000.0,,,,,,56.0,36.0,332250.0,7391529.0,2.0,2.0,3.0,11.0,1.0,,,,,,,,,,3.0,144.041245,5.0,4,57.0,36.0,332192.0,7391964.0,56.0,36.0,332250.0,7391529.0,,,,,,,,,,,,,11.0,3.0,3.0,2.0,2.0,16.0,,,,11.0,55.0,,12.0,0.0,,5.0,16.0,3.0,,,,1.0,,,438.85,1718
